location,facilities,
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Squash Court, Tennis Court",", , , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Security, Gymnasium, Playground, Swimming Pool",", Near KTM/LRT, , "
Kuala Lumpur  Kuchai Lama,"Jogging Track, Sauna, Multipurpose hall, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Playground, Swimming Pool, Sauna, Lift, Security, Minimart, Gymnasium, Squash Court",", "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Gymnasium, Club house, Jogging Track, Sauna, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Tennis Court, Squash Court",", , , Near KTM/LRT, "
Kuala Lumpur  Segambut,"Security, Barbeque area, Playground, Parking, Jogging Track, Lift",
Kuala Lumpur  Wangsa Maju,"Playground, Parking, Security, Barbeque area",
Kuala Lumpur  Kuchai Lama,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Club house, Minimart, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Sauna, Parking, Security",
Kuala Lumpur  Taman Desa,"Swimming Pool, Lift, Parking, Security, Playground, Minimart, Gymnasium, Squash Court",", "
Kuala Lumpur  Sentul,"Gymnasium, Security, Lift, Parking, Multipurpose hall, Club house, Playground, Squash Court, Jogging Track, Minimart",", "
Kuala Lumpur  Setapak,"Security, Jogging Track, Parking, Minimart",
Kuala Lumpur  Keramat,"Lift, Playground","Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Playground, Jogging Track, Gymnasium, Parking, Lift, Swimming Pool, Club house, Security, Minimart",", , "
Kuala Lumpur  Mont Kiara,"Security, Gymnasium, Tennis Court, Swimming Pool, Playground, Sauna, Parking, Lift, Barbeque area, Minimart, Multipurpose hall, Club house",", , , Near KTM/LRT, "
Kuala Lumpur  Pantai,,
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT"
Kuala Lumpur  Mont Kiara,"Security, Sauna, Tennis Court, Squash Court, Playground, Club house, Gymnasium, Jogging Track, Barbeque area, Parking, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,,", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",", , "
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Multipurpose hall, Playground, Gymnasium, Barbeque area, Jogging Track, Parking, Security, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift",", , , , Near KTM/LRT"
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Near KTM/LRT, , , "
Kuala Lumpur  Desa Pandan,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Squash Court, Parking, Security, Gymnasium, Lift, Sauna, Playground, Swimming Pool, Minimart",", "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  KL City,"Playground, Parking, Minimart, Security, Lift, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",", , Near KTM/LRT"
Kuala Lumpur  Segambut,"Barbeque area, Parking, Security, Playground, Jogging Track, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Gymnasium, Security, Playground, Multipurpose hall, Parking",", Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Jogging Track, Barbeque area, Swimming Pool, Gymnasium, Parking, Security, Playground, Lift, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  KLCC,"Club house, Security, Minimart, Gymnasium, Parking, Sauna, Playground, Swimming Pool, Barbeque area",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,"Jogging Track, Club house, Parking, Security, Sauna, Playground, Swimming Pool, Barbeque area",
Kuala Lumpur  Jalan Sultan Ismail,"Playground, Squash Court, Swimming Pool, Gymnasium, Security, Lift, Minimart, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall, Barbeque area",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Playground, Parking, Security",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Parking, Lift, Security, Swimming Pool, Playground",
Kuala Lumpur  Bukit Jalil,"Parking, Gymnasium, Security, Lift, Swimming Pool, Minimart, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Gymnasium",", "
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Desa Petaling,"Playground, Gymnasium, Jogging Track, Security, Swimming Pool, Multipurpose hall, Parking, Lift",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Swimming Pool, Lift, Security, Parking, Gymnasium, Barbeque area, Playground",", "
Kuala Lumpur  Bukit Jalil,"Club house, Security, Barbeque area, Sauna, Multipurpose hall, Parking, Swimming Pool",", , "
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Setiawangsa,"Swimming Pool, Parking",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track",
Kuala Lumpur  Puchong,"Gymnasium, Swimming Pool, Security, Playground, Jogging Track",
Kuala Lumpur  Cheras,"Gymnasium, Jogging Track, Barbeque area, Security, Lift, Parking, Playground, Swimming Pool",
Kuala Lumpur  Kepong,"Parking, Lift, Security, Swimming Pool, Playground, Gymnasium, Minimart",", , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Jalan Ipoh,"Multipurpose hall, Playground, Gymnasium, Jogging Track, Barbeque area, Swimming Pool, Security",", "
Kuala Lumpur  Sentul,"Security, Parking, Minimart",
Kuala Lumpur  Setapak,"Parking, Swimming Pool, Barbeque area, Security, Jogging Track, Multipurpose hall, Gymnasium, Lift",", , "
Kuala Lumpur  Bukit Jalil,"Minimart, Parking, Gymnasium, Playground, Swimming Pool, Squash Court, Security, Lift, Barbeque area, Multipurpose hall, Club house, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Bangsar South,"Parking, Security, Playground, Squash Court, Gymnasium, Minimart, Swimming Pool, Lift",", , "
Kuala Lumpur  Pantai,"Playground, Swimming Pool, Multipurpose hall, Parking, Security, Minimart, Lift",", "
Kuala Lumpur  Segambut,"Gymnasium, Swimming Pool, Jogging Track, Barbeque area, Security, Sauna, Parking, Playground, Lift, Multipurpose hall, Club house",", , , "
Kuala Lumpur  Cheras,"Parking, Swimming Pool, Squash Court, Security, Lift, Playground, Gymnasium, Minimart, Jogging Track, Barbeque area",", , "
Kuala Lumpur  Kepong,"Parking, Minimart, Swimming Pool, Jogging Track, Security",
Kuala Lumpur  Gombak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court, Club house",", , "
Kuala Lumpur  Kepong,,
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Bandar Menjalara,"Tennis Court, Parking, Security, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Minimart, Lift",", "
Kuala Lumpur  Keramat,"Sauna, Parking, Security, Swimming Pool, Lift, Minimart, Squash Court, Playground, Gymnasium, Tennis Court",
Kuala Lumpur  Old Klang Road,"Playground, Security, Swimming Pool, Gymnasium, Barbeque area, Parking, Jogging Track, Sauna, Multipurpose hall, Lift",", , "
Kuala Lumpur  Cheras,,
Kuala Lumpur  Sentul,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Keramat,"Sauna, Parking, Security, Swimming Pool, Lift, Minimart, Squash Court, Playground, Gymnasium, Tennis Court",
Kuala Lumpur  Keramat,"Sauna, Parking, Security, Swimming Pool, Lift, Minimart, Squash Court, Playground, Gymnasium, Tennis Court, Multipurpose hall",
Kuala Lumpur  Kuchai Lama,"Security, Playground, Lift, Gymnasium",
Kuala Lumpur  Kuchai Lama,"Gymnasium, Security, Lift, Playground, Parking, Swimming Pool, Sauna, Minimart",", "
Kuala Lumpur  Setapak,,
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Parking, Gymnasium, Barbeque area, Sauna, Playground, Swimming Pool, Security, Minimart, Lift, Multipurpose hall",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift",", , "
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Minimart, Parking, Swimming Pool, Gymnasium, Security, Playground, Tennis Court",
Kuala Lumpur  Bukit Jalil,"Club house, Parking, Swimming Pool, Barbeque area, Multipurpose hall, Sauna, Security",
Kuala Lumpur  Bukit Jalil,"Playground, Gymnasium, Multipurpose hall, Parking, Security, Lift, Swimming Pool, Minimart, Barbeque area",", Near KTM/LRT, "
Kuala Lumpur  Taman Desa,"Parking, Playground, Security, Lift, Swimming Pool, Gymnasium, Sauna, Minimart",", "
Kuala Lumpur  Taman Desa,"Playground, Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Minimart, Multipurpose hall",", , "
Kuala Lumpur  Kuchai Lama,"Lift, Security, Parking, Sauna, Minimart",
Kuala Lumpur  Kuchai Lama,"Playground, Security, Gymnasium, Lift, Parking, Swimming Pool, Sauna, Minimart",", , "
Kuala Lumpur  Setapak,,", "
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Parking, Security, Lift",", , "
Kuala Lumpur  Solaris Dutamas,"Lift, Minimart, Swimming Pool, Sauna, Gymnasium, Parking, Playground, Security, Jogging Track, Barbeque area, Multipurpose hall, Tennis Court",", "
Kuala Lumpur  Wangsa Maju,"Playground, Tennis Court, Minimart, Sauna, Security, Swimming Pool, Gymnasium, Jogging Track, Parking, Squash Court, Lift",
Kuala Lumpur  Bukit Jalil,"Parking, Security, Minimart, Multipurpose hall, Lift, Swimming Pool, Gymnasium, Jogging Track",", "
Kuala Lumpur  Sentul,"Parking, Minimart, Playground, Swimming Pool, Gymnasium, Security, Lift, Sauna, Barbeque area, Multipurpose hall, Tennis Court",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,"Security, Parking",
Kuala Lumpur  Sentul,"Playground, Gymnasium, Club house, Multipurpose hall, Parking, Security, Minimart, Lift, Swimming Pool, Barbeque area",", , , , Near KTM/LRT"
Kuala Lumpur  Bangsar South,"Security, Jogging Track, Parking, Minimart, Swimming Pool",", , Near KTM/LRT, , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",
Kuala Lumpur  Bukit Jalil,"Security, Parking, Playground, Lift",", Near KTM/LRT"
Kuala Lumpur  Sentul,,
Kuala Lumpur  Setapak,"Barbeque area, Parking, Minimart, Jogging Track, Playground, Tennis Court, Security, Swimming Pool, Gymnasium, Sauna",
Kuala Lumpur  Sri Damansara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Sauna",", Near KTM/LRT, "
Kuala Lumpur  Kepong,"Playground, Minimart, Jogging Track, Security, Lift",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Jogging Track, Barbeque area, Security, Sauna, Club house, Parking, Playground, Swimming Pool",
Kuala Lumpur  Sentul,"Parking, Minimart, Playground, Gymnasium, Swimming Pool, Security, Squash Court, Lift, Multipurpose hall, Barbeque area, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Parking, Lift, Playground, Security",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Lift, Security, Parking",
Kuala Lumpur  KLCC,"Security, Lift, Swimming Pool, Parking, Gymnasium, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  KL City,"Security, Tennis Court, Playground, Jogging Track, Lift, Gymnasium, Squash Court, Parking, Minimart, Swimming Pool",Near KTM/LRT
Kuala Lumpur  Setapak,"Gymnasium, Jogging Track, Lift, Parking, Security, Minimart, Playground, Swimming Pool",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Kepong,"Security, Minimart, Tennis Court, Parking, Gymnasium, Lift, Swimming Pool, Jogging Track, Playground, Squash Court",
Kuala Lumpur  Desa Pandan,Parking,", , "
Kuala Lumpur  Mont Kiara,"Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Sauna, Gymnasium, Playground",", , , "
Kuala Lumpur  Desa Petaling,,
Kuala Lumpur  Wangsa Maju,,", Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Parking, Lift, Security, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  KLCC,"Parking, Playground, Security, Gymnasium, Club house, Minimart, Swimming Pool, Barbeque area",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,,
Kuala Lumpur  Bukit Jalil,"Playground, Parking, Minimart, Jogging Track, Barbeque area, Security, Swimming Pool, Gymnasium, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Playground, Parking, Security, Lift, Swimming Pool, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Squash Court, Minimart, Multipurpose hall",", , , Near KTM/LRT, "
Kuala Lumpur  Segambut,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Pandan Indah,"Parking, Playground",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Parking, Multipurpose hall, Playground, Security, Swimming Pool, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Gymnasium, Barbeque area, Sauna, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Lift, Parking",", , "
Kuala Lumpur  Setapak,"Lift, Security, Parking, Swimming Pool, Playground",Near KTM/LRT
Kuala Lumpur  Cheras,"Security, Swimming Pool, Parking, Gymnasium, Playground, Lift, Multipurpose hall, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Barbeque area",", , Near KTM/LRT"
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Swimming Pool, Gymnasium, Security, Parking, Lift, Barbeque area, Jogging Track","Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Swimming Pool, Playground, Security",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Swimming Pool, Gymnasium, Minimart, Playground",
Kuala Lumpur  Bukit Jalil,"Sauna, Multipurpose hall, Swimming Pool, Barbeque area, Security, Club house, Parking",
Kuala Lumpur  Sentul,"Minimart, Barbeque area, Security, Swimming Pool, Lift, Playground, Gymnasium, Parking",
Kuala Lumpur  Mont Kiara,"Parking, Jogging Track, Barbeque area, Lift, Security, Playground, Gymnasium, Swimming Pool, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Barbeque area, Gymnasium, Jogging Track, Lift, Parking, Swimming Pool, Security, Playground",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Minimart, Swimming Pool, Parking, Lift",
Kuala Lumpur  Kuchai Lama,,
Kuala Lumpur  Sungai Besi,"Jogging Track, Gymnasium, Parking, Security, Swimming Pool",", "
Kuala Lumpur  Bandar Tasik Selatan,"Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  KL City,"Playground, Lift, Swimming Pool, Security, Gymnasium, Minimart",", , , "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Security, Playground, Parking, Squash Court, Jogging Track, Minimart, Gymnasium, Swimming Pool, Lift",", Near KTM/LRT"
Kuala Lumpur  KL City,"Parking, Lift, Security, Swimming Pool, Playground, Gymnasium, Sauna, Minimart",", , , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,,Near KTM/LRT
